,⺮,一,丶,乙,人,亻,八,冫,厂,又,口,囗,土,大,女,子,宀,寸,尸,巾,广,彳,心,忄,戶,手,扌,方,月,木,水,氵,火,牛,玉,目,矢,示,糸,老,而,臼,艸,行,衣,見,言,訁,足,車,辶,金,門,雨,食,馬
氵,1,28,32,2,35,5,19,0,2,4,33,7,9,29,3,2,6,6,2,6,1,5,5,8,7,0,3,5,11,4,0,5,35,4,1,3,4,4,2,6,15,2,3,2,0,4,8,6,2,2,16,0,0,1,1,4
火,1,154,123,4,127,27,56,1,7,7,117,14,15,93,15,8,19,14,6,18,3,16,11,29,16,0,20,24,47,17,0,35,46,16,2,10,29,11,7,44,55,2,29,9,4,13,17,19,6,8,63,3,7,0,7,2
牛,0,22,17,1,16,4,9,0,0,0,19,3,2,10,1,5,4,2,1,0,0,6,1,6,3,0,6,3,4,4,0,4,16,0,0,3,0,1,1,12,6,1,8,2,0,2,5,1,1,1,11,0,1,0,1,3
玉,0,1,3,0,2,1,0,0,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
目,1,16,13,0,11,3,3,0,2,0,11,3,1,7,2,0,6,2,1,1,1,2,0,2,2,0,2,5,9,5,0,3,10,3,0,1,3,5,1,7,12,1,2,2,1,3,3,1,2,4,11,0,2,0,2,1
矢,0,37,24,2,39,15,14,1,1,1,35,5,4,30,3,2,5,4,0,5,0,4,1,3,5,0,3,6,12,4,0,4,29,0,1,3,4,6,0,10,16,0,1,5,1,5,6,6,2,0,14,1,5,0,3,3
示,3,16,10,0,15,5,8,0,0,0,25,0,2,9,1,0,0,3,1,0,0,3,0,1,1,1,7,3,2,2,0,4,11,1,0,5,6,1,1,2,6,0,1,0,0,1,0,3,1,1,3,1,2,0,1,0
糸,0,9,6,0,9,3,4,0,0,1,7,1,1,7,1,4,0,0,0,0,0,0,1,2,1,1,2,2,5,0,0,2,7,1,1,1,0,1,1,5,3,0,1,1,0,1,1,2,0,1,3,1,0,0,0,0
老,0,59,51,1,31,13,17,0,1,3,47,5,8,39,5,5,4,3,0,8,0,9,1,11,6,1,6,6,16,12,0,6,44,12,1,7,10,2,5,9,17,6,9,6,0,5,6,8,1,3,16,0,3,0,5,1
而,2,64,40,6,59,17,23,0,1,2,73,11,11,45,3,1,8,10,3,4,0,5,4,8,9,0,6,8,16,11,0,15,55,6,0,12,16,6,3,17,11,5,12,5,1,8,7,7,5,1,19,0,3,0,7,0
