radical1,radical2,category1,category2,same_category,observed,expected,enrichment,chi_square,significant
而,見,connection,perception,False,8,6.232514465536494,1.283591084182323,0.5012431389950784,False
丶,車,structure,other,False,5,6.8497106892701245,0.7299578371729417,0.4994998751348331,False
八,足,structure,motion,False,7,5.373058572733733,1.3027961458530133,0.49263159370482634,False
一,訁,structure,communication,False,26,22.662673840219266,1.1472609182530795,0.4914577147993345,False
一,又,structure,other,False,9,7.13633133692011,1.2611522048364154,0.48670118044784777,False
囗,老,boundary,entity,False,5,6.811491219165567,0.734053651266766,0.48175947549939696,False
方,而,direction,connection,False,8,10.21723682874835,0.7829905613512171,0.48116131955808683,False
子,火,agent,transformation,False,8,10.177342401786621,0.7860598262465464,0.4658210117589919,False
口,扌,boundary,action,False,17,20.04532534768044,0.8480780284250746,0.4626518309067075,False
人,月,agent,temporal,False,32,36.074002639325954,0.8870654116190396,0.46009581113522274,False
八,彳,structure,other,False,12,9.904070652725611,1.2116230205504024,0.44354689933043934,False
口,糸,boundary,thread,False,7,8.988935133488987,0.7787351778656126,0.4400813785482747,False
又,火,other,transformation,False,7,5.457415490813116,1.2826584326928443,0.4360245196630251,False
八,木,structure,structure,True,9,11.187189117856056,0.804491629236423,0.42761378098386266,False
亻,巾,agent,cloth,False,6,4.608263120495381,1.302008987575998,0.42031704595136876,False
土,而,structure,connection,False,11,9.059283321490204,1.2142240848021693,0.415748254314067,False
牛,而,entity,connection,False,6,7.799157445944574,0.7693138703232483,0.4150406678840634,False
土,木,structure,structure,True,5,3.7668257029743173,1.327377583744307,0.4037136216958524,False
口,氵,boundary,fluid,False,33,36.85463404730484,0.8954097863960007,0.40315699837286206,False
丶,臼,structure,other,False,8,6.398081413054512,1.2503748363809448,0.40108010410207107,False
八,氵,structure,fluid,False,19,16.43995533448381,1.1557209015128125,0.398652463227248,False
口,訁,boundary,communication,False,24,21.123997563699117,1.136148587767459,0.3915636701181372,False
大,老,magnitude,entity,False,39,35.2857577910872,1.1052617951668584,0.39096780259467906,False
矢,訁,perception,communication,False,6,4.65181199878185,1.2898199672667758,0.3907318023825042,False
八,子,structure,agent,False,7,5.533448380875038,1.265033938726839,0.3886859519629118,False
人,示,agent,perception,False,15,12.780935945589281,1.1736229696993765,0.38528049107992773,False
亻,宀,agent,constraint,False,7,5.5821743985382195,1.2539916348426987,0.36011584243711015,False
口,臼,boundary,other,False,6,7.640594863465638,0.7852791709569203,0.3522698892071598,False
巾,矢,cloth,perception,False,5,3.840219267079484,1.302008987575998,0.35026420495947386,False
子,老,agent,entity,False,5,3.8524007714952795,1.2978919631093544,0.34186058704205186,False
一,丶,structure,structure,True,150,143.01593746827734,1.048834155516911,0.3410607958139745,False
口,木,boundary,structure,False,28,25.07912902243427,1.1164662048252512,0.3401827575413019,False
扌,而,action,connection,False,6,7.594812709369607,0.7900128982243222,0.33489009871554004,False
忄,木,internal,structure,False,5,3.865952695157852,1.2933422610841967,0.33266400057883494,False
又,大,other,magnitude,False,6,4.747538320982641,1.2638128634964079,0.3304155019610884,False
矢,言,perception,communication,False,6,4.7507867221601865,1.262948717948718,0.32847902985249466,False
口,艸,boundary,other,False,24,26.966805400466956,0.889983060417843,0.32639885049519,False
土,月,structure,temporal,False,5,6.440056847020607,0.7763906621900664,0.32201015797093874,False
一,目,structure,perception,False,16,18.419449802050554,0.8686470101956462,0.3178019651808924,False
囗,辶,boundary,motion,False,7,8.656786113084966,0.8086141795070241,0.31708536963413453,False
老,訁,entity,communication,False,8,6.5602476905897875,1.2194661508704063,0.3159768975530375,False
口,尸,boundary,constraint,False,8,6.56192264744696,1.2191548772847165,0.31516166572469134,False
大,示,magnitude,perception,False,9,10.842351030352248,0.8300782712905401,0.3130554719671086,False
而,艸,connection,other,False,12,10.21723682874835,1.1744858420268258,0.3110669330702583,False
丶,糸,structure,thread,False,6,7.5271546035935435,0.7971139581928524,0.3098383527506577,False
口,言,boundary,communication,False,19,21.573444320373564,0.8807124035384906,0.30697998760488515,False
火,老,transformation,entity,False,44,40.56187189117856,1.084762560220234,0.2914245408688562,False
口,辶,boundary,motion,False,67,62.83265658308801,1.0663244822602913,0.27639689452752064,False
大,氵,magnitude,fluid,False,29,26.303928535174094,1.102496912627354,0.27633900136736345,False
亻,土,agent,structure,False,5,6.318546340473048,0.7913212518475676,0.2751525997108866,False
口,戶,boundary,boundary,True,18,15.910415186275506,1.131334398836241,0.27443436532784526,False
人,糸,agent,thread,False,9,7.562683991472947,1.1900536912751678,0.2731672129494569,False
彳,火,other,transformation,False,16,18.21596792203837,0.8783502511904729,0.26957194108593735,False
亻,八,agent,structure,False,21,18.76560755253274,1.1190684842583576,0.26604572195824877,False
氵,訁,fluid,communication,False,6,4.890366460257842,1.2269019200830307,0.25177798075602553,False
宀,氵,constraint,fluid,False,6,4.890366460257842,1.2269019200830307,0.25177798075602553,False
一,戶,structure,boundary,False,15,17.069333062633234,0.8787689562890277,0.25086740696864973,False
子,辶,agent,motion,False,6,4.896051162318546,1.2254773900603346,0.24891550268055432,False
火,車,transformation,other,False,8,6.7111460765404525,1.1920467694727848,0.2475202323227298,False
方,氵,direction,fluid,False,5,6.243021013095118,0.8008943089430894,0.24749255781056453,False
大,木,magnitude,structure,False,20,17.89950258856969,1.1173494850505874,0.24649228958143904,False
亻,示,agent,perception,False,5,4.014414780225358,1.245511556162444,0.24197256103757664,False
大,門,magnitude,boundary,False,5,6.223124555882651,0.8034549132193658,0.24039912197948035,False
木,而,structure,connection,False,11,9.502030250735967,1.1576473353311005,0.23615093937807152,False
丶,月,structure,temporal,False,33,35.90452745914121,0.9191041446668108,0.23496423314596268,False
一,馬,structure,entity,False,8,6.75058369708659,1.1850827067669174,0.2312453512219286,False
大,車,magnitude,other,False,7,5.838189016343518,1.199001947419669,0.23120264828120102,False
一,八,structure,structure,True,72,76.1851588671201,0.9450659560293138,0.22990770123068283,False
戶,老,boundary,entity,False,6,4.941122728656989,1.2142989214175655,0.22691625716238212,False
八,示,structure,perception,False,8,6.776469393970156,1.1805557636132125,0.22091550287585512,False
土,大,structure,magnitude,False,19,17.0654755862349,1.113358951175407,0.2192956585676306,False
宀,辶,constraint,motion,False,7,8.33747842858593,0.8395823821264421,0.21455510347102455,False
訁,辶,communication,motion,False,7,8.33747842858593,0.8395823821264421,0.21455510347102455,False
人,木,agent,structure,False,19,21.09988833620952,0.9004786990931178,0.20898361897875983,False
丶,言,structure,communication,False,20,18.065171048624507,1.107102719712295,0.2072254428704028,False
人,子,agent,agent,True,9,10.436503908232666,0.8623577473008462,0.19772363394028256,False
一,月,structure,temporal,False,43,46.00040605014719,0.9347743572768399,0.19570341305130856,False
口,囗,boundary,boundary,True,24,21.933001725713126,1.0942414677268562,0.1947969511576738,False
大,巾,magnitude,cloth,False,14,12.446249111765303,1.1248368785071121,0.19396541086487248,False
人,言,agent,communication,False,20,18.150441579535073,1.1019015659955258,0.188472899445587,False
一,亻,structure,agent,False,48,45.13247386052178,1.0635357624831308,0.18219045971205744,False
忄,而,internal,connection,False,8,9.297685514161,0.8604291882980407,0.1811190205453251,False
艸,辶,other,motion,False,12,10.643589483301188,1.127439198855508,0.17285986956728205,False
火,示,transformation,perception,False,11,12.463556999289413,0.8825730889365809,0.1718609775918024,False
八,矢,structure,perception,False,14,15.638006293777282,0.8952547874066861,0.17157331747088764,False
忄,方,internal,direction,False,5,4.156938381890163,1.2028083028083028,0.17097989593167753,False
八,戶,structure,boundary,False,6,7.097249010252766,0.8453979832653937,0.1696369098451284,False
而,言,connection,communication,False,7,8.17378946299868,0.8563959264778936,0.16856094834393623,False
八,女,structure,other,False,7,6.014617805298954,1.163831223628692,0.16143637069979844,False
丶,宀,structure,constraint,False,16,17.68881331844483,0.90452647738196,0.16123695655618958,False
宀,火,constraint,transformation,False,19,17.33098162623084,1.0963025874566195,0.16073078790660908,False
火,訁,transformation,communication,False,19,17.33098162623084,1.0963025874566195,0.16073078790660908,False
彳,月,other,temporal,False,5,5.980052786519135,0.8361130208200716,0.16061789061949236,False
老,而,entity,connection,False,17,18.73160085270531,0.9075572415661834,0.1600739593304277,False
方,火,direction,transformation,False,24,22.124657395188304,1.084762560220234,0.15895884047392198,False
女,老,other,entity,False,5,4.187392142929652,1.194060606060606,0.157695173232682,False
氵,辶,fluid,motion,False,16,14.546238960511623,1.0999406818102515,0.1452898694756485,False
口,巾,boundary,cloth,False,19,17.438534158968633,1.089541117779576,0.13981539678057414,False
丶,目,structure,perception,False,13,14.376865292863668,0.9042304935870052,0.13186170949473688,False
一,子,structure,agent,False,12,13.308293574256421,0.9016933638443936,0.12861394038914384,False
人,足,agent,motion,False,9,10.133996548573748,0.8880997696083343,0.1268944750487562,False
大,忄,magnitude,internal,False,19,17.514567049030557,1.0848112857606527,0.12598147848295912,False
而,訁,connection,communication,False,7,8.003502182519542,0.8746171164029551,0.12582199734022811,False
木,辶,structure,motion,False,11,9.898538219470105,1.1112751960045328,0.12256537551996584,False
口,牛,boundary,entity,False,19,20.584661455689776,0.9230173661538765,0.121991412613431,False
口,老,boundary,entity,False,47,49.43914323418942,0.9506637236281505,0.12033824471249623,False
月,氵,temporal,fluid,False,11,9.926403410821237,1.1081556475942118,0.11611553435756597,False
寸,火,action,transformation,False,14,12.832301289209218,1.0909968278077067,0.1062568785171098,False
人,寸,agent,action,False,12,13.159070145162927,0.9119185373756076,0.10209259367021746,False
八,忄,structure,internal,False,12,10.946604405644097,1.0962303519265544,0.10136862876275061,False
人,牛,agent,entity,False,16,17.31854634047305,0.9238650684329298,0.1003874353999263,False
一,囗,structure,boundary,False,22,23.530606029844687,0.9349525452976704,0.09956202639343492,False
八,扌,structure,action,False,8,8.94173180387778,0.8946812737696542,0.09918199403501347,False
人,彳,agent,other,False,20,18.67982945893818,1.0706735863924137,0.09330118678645198,False
亻,扌,agent,action,False,6,5.297127195208608,1.1326894331378636,0.0932637940357901,False
火,行,transformation,motion,False,9,9.956095827834737,0.9039688001835283,0.09181502948649249,False
大,而,magnitude,connection,False,45,43.048624505126384,1.0453295666773568,0.08845500560743345,False
八,火,structure,transformation,False,56,58.2615978073292,0.9611820153850175,0.08779066889018312,False
亻,言,agent,communication,False,5,5.700944066592224,0.8770477207977209,0.08618267058082808,False
人,宀,agent,constraint,False,19,17.772307379961426,1.0690789661573612,0.08480773695128668,False
大,子,magnitude,agent,False,8,8.85351740940006,0.9035956705191708,0.08228277355342721,False
口,車,boundary,other,False,9,8.179930971474977,1.100253783483597,0.08221502282735142,False
大,食,magnitude,other,False,6,6.736371941934829,0.8906871609403255,0.08049490757678192,False
口,馬,boundary,entity,False,7,6.29225459344229,1.112478825522304,0.0796063720984167,False
一,臼,structure,other,False,9,8.197137346462288,1.0979442724458204,0.07863579847467203,False
八,方,structure,direction,False,13,12.029235610597908,1.0807004219409284,0.07834109582997648,False
氵,而,fluid,connection,False,15,13.963556999289413,1.0742248555123406,0.07692983197451995,False
人,扌,agent,action,False,18,16.86478530098467,1.0673127276010475,0.07641439780352378,False
月,艸,temporal,other,False,8,7.263222007917978,1.1014395527603074,0.07473843000043764,False
一,行,structure,motion,False,14,13.01898284438128,1.0753528265107213,0.07392241553137861,False
月,見,temporal,perception,False,5,4.430565424829966,1.1285241319265447,0.07318608446268926,False
老,言,entity,communication,False,6,6.699827428687443,0.8955454545454545,0.07310015596017017,False
矢,老,perception,entity,False,10,10.887219571617095,0.9185081585081585,0.07230115669867983,False
火,食,transformation,other,False,7,7.743630088315907,0.9039688001835283,0.07141168960060534,False
亻,而,agent,connection,False,17,15.938889452847427,1.0665736813277797,0.07064203541968134,False
尸,火,constraint,transformation,False,6,5.383666632829154,1.1144820824180486,0.07055912733744621,False
一,車,structure,other,False,8,8.775758806212567,0.911602082128398,0.0685754632397505,False
一,厂,structure,constraint,False,5,5.5933407775860315,0.8939201451905626,0.06294150353884488,False
大,馬,magnitude,entity,False,5,4.490914627956553,1.113358951175407,0.05770938383358701,False
大,糸,magnitude,thread,False,7,6.415592325652218,1.0910917721518987,0.053234730715509146,False
一,乙,structure,connection,False,8,8.679321896254187,0.9217309941520468,0.05316984947056163,False
丶,土,structure,structure,True,19,20.022231245558828,0.9489451883248241,0.05218982373048643,False
月,辶,temporal,motion,False,16,16.92330727844889,0.9454416761891051,0.050374097474570514,False
忄,辶,internal,motion,False,9,9.685666429804082,0.9292081309248691,0.048539608127903006,False
火,牛,transformation,entity,False,16,16.888488478327073,0.9473908822884141,0.04674259494169689,False
老,艸,entity,other,False,9,8.374784285859304,1.0746545454545453,0.04667519495021262,False
丶,尸,structure,constraint,False,5,5.494822860623287,0.9099474408594204,0.044560064920389365,False
土,老,structure,entity,False,8,7.425642066795249,1.0773479152426522,0.0444253887364659,False
一,糸,structure,thread,False,9,9.643690995837986,0.9332526315789474,0.04296468004851227,False
丶,氵,structure,fluid,False,32,30.86133387473353,1.03689620577932,0.04201245967177286,False
而,足,connection,motion,False,5,4.5636991168409295,1.0956024645772628,0.041711439727243504,False
人,尸,agent,constraint,False,6,5.520759313775251,1.0868070239955872,0.041601457748773385,False
丶,八,structure,structure,True,61,59.46452136838899,1.0258217605435442,0.039648761545188295,False
方,辶,direction,motion,False,10,10.643589483301188,0.9395326657129232,0.03891614043041996,False
人,女,agent,other,False,12,11.34402598720942,1.0578255033557047,0.03793202747787675,False
丶,扌,structure,action,False,16,16.785554766013604,0.9532005479137247,0.03676353263319888,False
丶,辶,structure,motion,False,54,52.61481067911887,1.026326984797664,0.03646785819272408,False
八,宀,structure,constraint,False,10,9.422901228301695,1.0612442768650687,0.03534399695238203,False
而,行,connection,motion,False,5,4.597756572936758,1.0874868907655793,0.03519102676465409,False
一,方,structure,direction,False,28,28.931072987513957,0.9678175438596491,0.029964215584133362,False
扌,月,action,temporal,False,5,5.3989950258856965,0.9260982786661779,0.029486419216585884,False
火,言,transformation,communication,False,17,17.699725916150644,0.9604668501949989,0.027662369465625072,False
宀,矢,constraint,perception,False,5,4.65181199878185,1.074849972722313,0.02606186239341529,False
大,言,magnitude,communication,False,16,15.397421581565323,1.0391350210970465,0.023581919118065918,False
大,尸,magnitude,constraint,False,5,4.6833823977261195,1.067604473729842,0.021404766375330155,False
口,食,boundary,other,False,9,9.438381890163436,0.9535532790191175,0.020361401335493013,False
火,糸,transformation,thread,False,7,7.374885798396102,0.9491672401927047,0.01905647974503517,False
火,見,transformation,perception,False,13,13.496041011064866,0.9632454428185138,0.01823176770554585,False
宀,月,constraint,temporal,False,6,5.689523906202416,1.0545697845577413,0.01694261354886325,False
一,土,structure,structure,True,25,25.652218048929043,0.9745745943806885,0.01658290844625686,False
一,女,structure,other,False,14,14.465536493756979,0.9678175438596491,0.014982107792066681,False
八,言,structure,communication,False,10,9.623388488478327,1.0391350210970465,0.014738699448791253,False
丶,馬,structure,entity,False,5,5.269008222515481,0.9489451883248241,0.013734164139601693,False
心,火,internal,transformation,False,11,10.619835549690388,1.0357975835436262,0.013608968670275057,False
大,行,magnitude,motion,False,9,8.661049639630495,1.0391350210970465,0.01326482950391207,False
一,人,structure,agent,False,145,143.69099583798598,1.0091098551748499,0.011924838339223547,False
一,扌,structure,action,False,21,21.50543092071871,0.9764975218314845,0.011878879179884125,False
八,土,structure,structure,True,11,10.665922241396812,1.03132197582564,0.010463975478853083,False
示,而,perception,connection,False,6,5.755710080194904,1.0424430550533956,0.010368410515277296,False
一,矢,structure,perception,False,37,37.610394883768144,0.9837705802968961,0.009906354753300529,False
亻,辶,agent,motion,False,17,16.60399959394985,1.0238496998153652,0.009444490811058767,False
人,八,agent,structure,False,59,59.74520353263628,0.9875269730694078,0.00929494373134475,False
扌,老,action,entity,False,6,6.225256319155416,0.9638157358336731,0.00815073415745402,False
丶,戶,structure,boundary,False,13,13.323063648360572,0.9757515495769379,0.007833792860764882,False
一,而,structure,connection,False,64,64.70916658207288,0.9890407090752217,0.00777196288706742,False
丶,艸,structure,other,False,23,22.581463810780633,1.0185345021353112,0.007757359892791379,False
丶,女,structure,other,False,11,11.290731905390317,0.9742503933468194,0.007486232205330358,False
大,扌,magnitude,action,False,14,14.306770886204447,0.9785576431855594,0.006577890802277917,False
八,巾,structure,cloth,False,8,7.778905694853314,1.0284222889207881,0.006284006219620008,False
囗,矢,boundary,perception,False,5,4.829966500862857,1.0352038671710801,0.0059858367182579805,False
一,示,structure,perception,False,16,16.297837782966198,0.9817253192151977,0.005442890409360509,False
一,辶,structure,motion,False,68,67.40940006090752,1.0087613884496651,0.00517447548473777,False
人,亻,agent,agent,True,35,35.39336108009339,0.9888860207652154,0.004371806875930407,False
人,行,agent,motion,False,10,10.209623388488478,0.9794680586626896,0.004303975115373645,False
